player_id,player_name,player_id_count,player_name_count
200293,Martina Navratilova,1,1
200259,Chris Evert,1,1
200237,Virginia Wade,1,1
200067,Patty Schnyder,1,1
200748,Venus Williams,1,1
200017,Arantxa Sanchez Vicario,1,1
201325,Samantha Stosur,1,1
201212,Francesca Schiavone,1,1
200049,Conchita Martinez,1,1
200414,Steffi Graf,1,1
200033,Serena Williams,1,1
201506,Sara Errani,1,1
201347,Jelena Jankovic,1,1
201320,Svetlana Kuznetsova,1,1
201493,Angelique Kerber,1,1
213583,Tatjana Maria,1,1
200009,Tamarine Tanasugarn,1,1
200773,Stephanie Foretz Gacon,1,1
201290,Daniela Hantuchova,1,1
200209,Wendy Turnbull,1,1
200159,Rosie Casals,1,1
201478,Varvara Lepchenko,1,1
200097,Nathalie Tauziat,1,1
200150,Evonne Goolagong,1,1
201366,Barbora Strycova,1,1
201664,Pemra Ozgen,1,1
200128,Lindsay Davenport,1,1
200377,Helena Sukova,1,1
201551,Arantxa Rus,1,1
200360,Pam Shriver,1,1
201311,Roberta Vinci,1,1
201344,Klara Koukalova,1,1
201691,Dia Evtimova,1,1
201452,Lourdes Dominguez Lino,1,1
201355,Flavia Pennetta,1,1
200085,Ai Sugiyama,1,1
200064,Amanda Coetzer,1,1
201533,Shuai Zhang,1,1
200190,Billie Jean King,1,1
201496,Caroline Wozniacki,1,1
201466,Kaia Kanepi,1,1
201465,Kirsten Flipkens,1,1
201427,Alize Cornet,1,1
201483,Madison Brengle,1,1
200124,Anne Kremer,1,1
201512,Monica Niculescu,1,1
201662,Karolina Pliskova,1,1
201527,Stefanie Voegele,1,1
201426,Pauline Parmentier,1,1
200404,Zina Garrison,1,1
201329,Vera Zvonareva,1,1
201339,Renata Voracova,1,1
201474,Agnieszka Radwanska,1,1
201514,Sorana Cirstea,1,1
201520,Petra Kvitova,1,1
201305,Eleni Daniilidou,1,1
201666,Cagla Buyukakcay,1,1
201605,Mandy Minella,1,1
202579,Giulia Gatto Monticone,1,1
200176,Kerry Reid,1,1
200700,Silvia Farina Elia,1,1
201444,Su Wei Hsieh,1,1
201492,Andrea Petkovic,1,1
201612,Junri Namigata,1,1
201462,Alberta Brianti,1,1
200108,Elena Dementieva,1,1
200754,Jill Craybas,1,1
201521,Carla Suarez Navarro,1,1
200069,Nadia Petrova,1,1
201370,Anastasia Rodionova,1,1
200041,Amy Frazier,1,1
201458,Victoria Azarenka,1,1
202302,Maria Fernanda Alves,1,1
201435,Kateryna Bondarenko,1,1
200048,Elena Likhovtseva,1,1
201556,Lucie Hradecka,1,1
201345,Maria Sharapova,1,1
201594,Simona Halep,1,1
200221,Dianne Fromholtz,1,1
200572,Gabriela Sabatini,1,1
202410,Sofia Shapatava,1,1
201518,Yanina Wickmayer,1,1
202424,Conny Perrin,1,1
201397,Shuai Peng,1,1
200337,Virginia Ruzici,1,1
201387,Sofia Arvidsson,1,1
202436,Reka Luca Jani,1,1
201286,Anabel Medina Garrigues,1,1
200121,Alina Jidkova,1,1
201308,Maria Elena Camerin,1,1
200539,Jana Novotna,1,1
201504,Julia Goerges,1,1
200062,Kristina Brandi,1,1
202688,Isabella Shinikova,1,1
